phase,model,cv5_spearman,cv5_gap,cv5_overfit,groupcv_spearman,groupcv_gap,groupcv_overfit,scaffoldcv_spearman,scaffoldcv_gap,scaffoldcv_overfit
2A,LightGBM,0.818,0.0544,False,0.4859,0.3959,True,0.3987,0.479,True
2A,CatBoost,0.8254,0.0708,False,0.4851,0.4185,True,0.4016,0.4969,True
2A,LightGBM_DART,0.8112,0.0265,False,0.4829,0.3655,True,0.3904,0.4537,True
2A,TabTransformer,0.8012,0.0349,False,0.4798,0.3615,True,0.3716,0.4621,True
2A,ResidualMLP,0.8092,0.0672,False,0.4782,0.3944,True,0.362,0.5048,True
2A,FTTransformer,0.8031,0.0207,False,0.4674,0.3593,True,0.3782,0.4428,True
2A,FlatMLP,0.804,0.0463,False,0.4613,0.3946,True,0.3412,0.5075,True
2A,RandomForest,0.8105,0.124,False,0.4524,0.4823,True,0.375,0.5562,True
2A,WideDeep,0.8098,0.0363,False,0.4513,0.392,True,0.3482,0.4967,True
2A,XGBoost,0.8076,0.1096,False,0.4321,0.4912,True,0.3373,0.5807,True
2A,CrossAttention,0.7997,0.0316,False,0.4297,0.4132,True,0.2991,0.5364,True
2A,GAT,,,,0.4285,0.2011,True,0.2853,0.0985,False
2A,TabNet,0.7963,0.0975,False,0.4224,0.4776,True,0.3679,0.52,True
2A,ExtraTrees,0.7999,0.1491,True,0.4093,0.5401,True,0.2773,0.6683,True
2A,GraphSAGE,,,,0.3643,0.2117,True,0.3358,0.3346,True
2B,CatBoost,0.8261,0.0711,False,0.4881,0.4165,True,0.3899,0.5096,True
2B,ResidualMLP,0.805,0.0699,False,0.471,0.4051,True,0.3596,0.5099,True
2B,FlatMLP,0.8094,0.0465,False,0.4693,0.3857,True,0.3347,0.5122,True
2B,FTTransformer,0.8039,0.021,False,0.4646,0.3601,True,0.3693,0.4491,True
2B,TabTransformer,0.7933,0.0398,False,0.4623,0.3809,True,0.3517,0.4783,True
2B,LightGBM_DART,0.81,0.028,False,0.4621,0.3852,True,0.3741,0.4716,True
2B,WideDeep,0.8082,0.0378,False,0.4609,0.3838,True,0.348,0.4948,True
2B,LightGBM,0.8196,0.0539,False,0.4581,0.4249,True,0.4041,0.4746,True
2B,GraphSAGE,,,,0.4509,0.323,True,0.3344,0.3527,True
2B,RandomForest,0.8109,0.1237,False,0.4279,0.5069,True,0.3712,0.5599,True
2B,TabNet,0.7892,0.1029,False,0.4275,0.4698,True,0.3562,0.5368,True
2B,CrossAttention,0.8051,0.0305,False,0.4212,0.4124,True,0.3234,0.5123,True
2B,XGBoost,0.8086,0.1092,False,0.3925,0.5347,True,0.349,0.5717,True
2B,ExtraTrees,0.7996,0.1494,True,0.3923,0.557,True,0.2952,0.6504,True
2B,GAT,,,,0.3717,0.1749,True,0.3001,0.094,False
2C,GraphSAGE,,,,0.4517,0.3151,True,0.3183,0.361,True
2C,ResidualMLP,0.8659,0.0641,False,0.4501,0.4945,True,0.3655,0.5653,True
2C,TabTransformer,0.8629,0.0295,False,0.4364,0.4556,True,0.3717,0.5179,True
2C,CatBoost,0.8955,0.0705,False,0.4305,0.5401,True,0.3862,0.5845,True
2C,GAT,,,,0.4183,0.1494,False,0.2822,0.1586,True
2C,FlatMLP,0.8606,0.0411,False,0.4127,0.4999,True,0.3573,0.5487,True
2C,FTTransformer,0.8583,0.0207,False,0.4124,0.4693,True,0.3607,0.5175,True
2C,WideDeep,0.8541,0.0311,False,0.4096,0.4894,True,0.3355,0.5609,True
2C,LightGBM_DART,0.8798,0.0245,False,0.405,0.5061,True,0.3294,0.5821,True
2C,LightGBM,0.8865,0.0506,False,0.3999,0.543,True,0.3395,0.6043,True
2C,XGBoost,0.8769,0.1044,False,0.3956,0.59,True,0.2946,0.6913,True
2C,CrossAttention,0.8623,0.0315,False,0.3935,0.5111,True,0.3118,0.5833,True
2C,RandomForest,0.8848,0.1019,False,0.3908,0.5958,True,0.2882,0.6985,True
2C,TabNet,0.8561,0.092,False,0.3818,0.5744,True,0.3453,0.6047,True
2C,ExtraTrees,0.8851,0.1149,False,0.3699,0.6301,True,0.2942,0.7058,True
