canonical_drug_id,in_2b,rank_2b,ic50_2b,in_2c,rank_2c,ic50_2c
1593,True,30.0,1.635861361146052,True,18.0,1.2383682496453432
1706,True,12.0,0.9029433732581239,False,,
1817,True,29.0,1.6049477447341587,False,,
1908,False,,,True,15.0,1.0690536482919102
1843,True,28.0,1.6008571700766514,True,29.0,1.548202285657691
2110,True,24.0,1.4668039084104092,False,,
1720,True,26.0,1.5388147939637609,False,,
1026,True,16.0,1.2546890061730656,False,,
1830,True,18.0,1.2871974235548966,False,,
1007,True,6.0,-1.3233146302227203,True,16.0,1.1361731335171907
1810,True,8.0,-0.010203996625431578,True,14.0,1.0223043698570806
1016,True,10.0,0.09492782969381039,False,,
2148,True,27.0,1.5457334353399141,False,,
1911,True,7.0,-1.0264358329789682,True,9.0,0.7361276435668097
1051,True,23.0,1.4361192165094505,True,21.0,1.2635536914621497
1802,False,,,True,12.0,0.8758405569893063
1809,True,11.0,0.17356331161361363,True,11.0,0.8286761887776659
1917,False,,,True,26.0,1.4625333296980323
1096,False,,,True,24.0,1.3637499233370365
2048,False,,,True,19.0,1.2473345910682765
1613,False,,,True,28.0,1.526538571699027
1617,True,22.0,1.4040462295038694,False,,
1819,True,5.0,-1.3275035247717089,True,6.0,0.5850131647836839
2011,True,15.0,1.0433131235200632,True,30.0,1.553178924439743
1811,True,1.0,-3.428227885930393,True,2.0,-0.48622267302559075
1237,False,,,True,22.0,1.2818166803970445
1039,True,2.0,-2.9673536757364363,True,3.0,-0.10376541933529815
1004,True,14.0,1.0301983758816042,False,,
1581,True,13.0,0.9814178072971216,False,,
1072,False,,,True,13.0,0.8878668825333711
1511,True,9.0,0.0598131075212471,True,4.0,0.268622970109531
1598,True,17.0,1.270441684409925,False,,
1080,True,4.0,-1.7252495997635326,True,1.0,-0.5681769362327035
1084,True,25.0,1.5198595568488638,True,20.0,1.2514343809264517
1922,False,,,True,23.0,1.305183110994645
1940,False,,,True,25.0,1.367544502371529
1091,False,,,True,27.0,1.5148106953937268
1626,False,,,True,7.0,0.662281453064777
1910,True,20.0,1.3600749134294183,True,10.0,0.7643679422008993
2172,True,21.0,1.397916198134528,False,,
1054,True,19.0,1.333637511096586,True,8.0,0.7103216653583512
2002,False,,,True,17.0,1.1972222512413149
1808,True,3.0,-1.8727832677234535,True,5.0,0.5304977433098609
